agno;mes;RBD;Establecimiento;Codigo;Enseñanza;Nivel;Letra;Porc_de_Asistencia;Matrícula_cierre_mes;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;8° básico;B;93%;32;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;87%;20;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;10;Educación Parvularia;2° nivel de Transición (Kinder);A;86%;18;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;1° básico;A;91%;21;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;2° básico;A;86%;20;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;3° básico;A;90%;33;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;4° básico;A;91%;28;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;5° básico;A;93%;25;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;6° básico;A;90%;31;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;7° básico;A;88%;33;;;;;;
2025;1.Marzo;10554;Escuela General Rene Schneider Chereau;110;Enseñanza Básica;8° básico;A;92%;28;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;91%;25;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;10;Educación Parvularia;2° nivel de Transición (Kinder);A;96%;27;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;1° básico;A;92%;31;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;2° básico;A;95%;37;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;3° básico;A;92%;30;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;4° básico;A;94%;35;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;5° básico;A;95%;33;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;6° básico;A;95%;34;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;7° básico;A;94%;31;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;110;Enseñanza Básica;8° básico;A;95%;30;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;165;Educación Básica Adultos Sin Oficios;Nivel Básico 3(7° y 8° básico);A;84%;7;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;363;Educación Media H-C Adultos;1er nivel (1° y 2° medio);A;94%;16;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;363;Educación Media H-C Adultos;1er nivel (1° y 2° medio);B;92%;15;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;363;Educación Media H-C Adultos;2do nivel (3° y 4° medio);A;91%;14;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;363;Educación Media H-C Adultos;2do nivel (3° y 4° medio);B;93%;15;;;;;;
2025;1.Marzo;10555;Escuela Basica Base El Bosque;363;Educación Media H-C Adultos;2do nivel (3° y 4° medio);C;91%;15;;;;;;
2025;1.Marzo;10556;Escuela Alemania;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;76%;4;;;;;;
2025;1.Marzo;10556;Escuela Alemania;10;Educación Parvularia;2° nivel de Transición (Kinder);A;73%;15;;;;;;
