agno,mes,RBD,%Asistencia,Matrícula,RBD_Establecimiento,Enseñanza,Nivel,Letra
2025,1.Marzo,10560,0.89,26,10560 Escuela Javiera Carrera Verdugo,110,3° Básico,A
2025,1.Marzo,10560,0.91,30,10560 Escuela Javiera Carrera Verdugo,110,4° Básico,A
2025,1.Marzo,10560,0.93,26,10560 Escuela Javiera Carrera Verdugo,110,5° Básico,A
2025,1.Marzo,10560,0.91,32,10560 Escuela Javiera Carrera Verdugo,110,6° Básico,A
2025,1.Marzo,10560,0.92,18,10560 Escuela Javiera Carrera Verdugo,110,7° Básico,A
2025,1.Marzo,10560,0.92,29,10560 Escuela Javiera Carrera Verdugo,110,8° Básico,A
2025,1.Marzo,10561,0.9,11,10561 Escuela Claudio Arrau Leon,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10561,0.95,15,10561 Escuela Claudio Arrau Leon,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10561,0.87,23,10561 Escuela Claudio Arrau Leon,110,1° Básico,A
2025,1.Marzo,10561,0.91,22,10561 Escuela Claudio Arrau Leon,110,2° Básico,A
2025,1.Marzo,10561,0.94,24,10561 Escuela Claudio Arrau Leon,110,3° Básico,A
2025,1.Marzo,10561,0.99,23,10561 Escuela Claudio Arrau Leon,110,4° Básico,A
2025,1.Marzo,10561,0.93,27,10561 Escuela Claudio Arrau Leon,110,5° Básico,A
2025,1.Marzo,10561,0.99,25,10561 Escuela Claudio Arrau Leon,110,6° Básico,A
2025,1.Marzo,10561,0.93,25,10561 Escuela Claudio Arrau Leon,110,7° Básico,A
2025,1.Marzo,10561,0.99,28,10561 Escuela Claudio Arrau Leon,110,8° Básico,A
2025,1.Marzo,10563,1.0,1,10563 Escuela Manuel Magallanes Moure,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10563,0.66,3,10563 Escuela Manuel Magallanes Moure,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10563,0.85,10,10563 Escuela Manuel Magallanes Moure,110,1° Básico,A
2025,1.Marzo,10563,0.89,15,10563 Escuela Manuel Magallanes Moure,110,2° Básico,A
2025,1.Marzo,10563,0.96,14,10563 Escuela Manuel Magallanes Moure,110,3° Básico,A
2025,1.Marzo,10563,0.85,22,10563 Escuela Manuel Magallanes Moure,110,4° Básico,A
2025,1.Marzo,10563,0.9,14,10563 Escuela Manuel Magallanes Moure,110,5° Básico,A
2025,1.Marzo,10563,0.88,20,10563 Escuela Manuel Magallanes Moure,110,6° Básico,A
